DataHora,Pressao_HX710B,Temperatura,VibX,VibY,VibZ,FimCurso,Velocidade
2025-09-18 07:55:07,0.0,21.44,-0.1,0.07,0.95,0,0.0
2025-09-18 07:55:09,4.239,21.38,-0.14,0.05,0.95,0,0.0
2025-09-18 07:55:12,4.239,21.44,-0.11,-0.02,0.93,1,0.049
2025-09-18 07:55:14,4.239,21.38,-0.14,0.06,0.95,0,0.049
2025-09-18 07:55:16,4.239,21.38,-0.15,0.06,0.95,0,0.049
2025-09-18 07:55:18,4.239,21.44,-0.14,0.05,0.95,1,0.05
2025-09-18 07:55:20,4.239,21.38,-0.15,0.04,0.96,0,0.05
2025-09-18 07:55:22,4.239,21.38,-0.14,0.05,0.96,0,0.05
2025-09-18 07:55:25,4.239,21.38,-0.14,0.06,0.95,0,0.05
2025-09-18 07:55:27,4.239,21.38,-0.2,0.08,0.98,0,0.05
2025-09-18 07:55:29,4.239,21.38,-0.14,0.06,0.96,0,0.05
2025-09-18 07:55:31,4.239,21.38,-0.15,0.05,0.95,0,0.05
2025-09-18 07:55:33,4.239,21.38,-0.13,0.06,0.94,0,0.05
2025-09-18 07:55:35,4.239,21.38,-0.19,0.03,0.97,1,0.014
2025-09-18 07:55:37,4.239,21.38,-0.12,0.04,0.94,0,0.014
2025-09-18 07:55:39,4.239,21.38,-0.14,0.05,0.96,0,0.014
2025-09-18 07:55:41,4.239,21.44,-0.26,0.11,1.04,1,0.049
2025-09-18 07:55:44,4.239,21.38,-0.14,0.06,0.95,0,0.049
2025-09-18 07:55:46,4.239,21.38,-0.14,0.06,0.95,0,0.049
2025-09-18 07:55:48,4.239,21.38,-0.17,0.06,0.95,1,0.046
2025-09-18 07:55:50,4.239,21.38,-0.14,0.06,0.95,0,0.046
2025-09-18 07:55:52,4.239,21.38,-0.18,0.04,0.97,0,0.046
2025-09-18 07:55:54,4.239,21.38,-0.13,0.05,0.95,0,0.046
2025-09-18 07:55:57,4.239,21.38,-0.17,0.04,0.95,0,0.046
2025-09-18 07:55:59,4.239,21.38,-0.14,0.05,0.95,1,0.023
2025-09-18 07:56:01,4.239,21.38,-0.14,0.05,0.95,0,0.023
2025-09-18 07:56:03,4.239,21.38,-0.12,0.09,0.93,0,0.023
2025-09-18 07:56:05,4.239,21.38,-0.13,0.05,0.96,1,0.05
2025-09-18 07:56:08,4.239,21.38,-0.14,0.05,0.95,0,0.05
2025-09-18 07:56:10,4.239,21.38,-0.14,0.07,0.94,0,0.05
2025-09-18 07:56:12,4.239,21.38,-0.14,0.05,0.96,1,0.05
2025-09-18 07:56:14,4.239,21.38,-0.14,0.06,0.95,0,0.05
2025-09-18 07:56:16,4.239,21.38,-0.14,0.05,0.96,0,0.05
2025-09-18 07:56:18,4.239,21.38,-0.13,0.05,0.95,0,0.05
2025-09-18 07:56:20,4.239,21.38,-0.15,0.07,0.99,0,0.05
2025-09-18 07:56:22,4.239,21.38,-0.13,0.05,0.96,0,0.05
2025-09-18 07:56:25,4.239,21.38,-0.14,0.05,0.96,0,0.05
2025-09-18 07:56:27,4.239,21.38,-0.14,0.06,0.95,0,0.05
2025-09-18 07:56:29,4.239,21.38,-0.13,0.06,0.95,1,0.014
2025-09-18 07:56:31,4.239,21.38,-0.14,0.05,0.95,0,0.014
